artist,artistid,cat,catid
陈奕迅,2116,华语男歌手,1001
林俊杰,3684,华语男歌手,1001
薛之谦,5781,华语男歌手,1001
队长,1143033,华语男歌手,1001
毛不易,12138269,华语男歌手,1001
许嵩,5771,华语男歌手,1001
李荣浩,4292,华语男歌手,1001
颜人中,31376161,华语男歌手,1001
周杰伦,6452,华语男歌手,1001
h3R3,12631485,华语男歌手,1001
沈以诚,12002248,华语男歌手,1001
张杰,6472,华语男歌手,1001
郭顶,2843,华语男歌手,1001
法老,865007,华语男歌手,1001
盛哲,12395355,华语男歌手,1001
王以太,12236125,华语男歌手,1001
Tizzy T,1204010,华语男歌手,1001
刘大壮,31165848,华语男歌手,1001
要不要买菜,33435854,华语男歌手,1001
张学友,6460,华语男歌手,1001
汪苏泷,5538,华语男歌手,1001
姜云升,1198123,华语男歌手,1001
烟(许佳豪),49937403,华语男歌手,1001
LBI利比,12277194,华语男歌手,1001
KEY.L刘聪,12788674,华语男歌手,1001
余佳运,1079074,华语男歌手,1001
XMASwu(吴骜),31309410,华语男歌手,1001
周深,1030001,华语男歌手,1001
古巨基,2849,华语男歌手,1001
徐秉龙,1197168,华语男歌手,1001
隔壁老樊,12429072,华语男歌手,1001
马思唯,1132392,华语男歌手,1001
艾热 AIR,1203045,华语男歌手,1001
小田音乐社,12852319,华语男歌手,1001
赵雷,6731,华语男歌手,1001
杨和苏KeyNG,13899303,华语男歌手,1001
Jony J,784257,华语男歌手,1001
方大同,2738,华语男歌手,1001
李克勤,3699,华语男歌手,1001
Capper,12193174,华语男歌手,1001
REDBOI,53092750,华语男歌手,1001
阿冗,30116848,华语男歌手,1001
那奇沃夫,12570417,华语男歌手,1001
华晨宇,861777,华语男歌手,1001
Aioz,29235210,华语男歌手,1001
周兴哲,980025,华语男歌手,1001
王巨星,32399227,华语男歌手,1001
满舒克,188141,华语男歌手,1001
暴躁的兔子,32645255,华语男歌手,1001
MoreLearn 27,31002901,华语男歌手,1001
GALI,12127362,华语男歌手,1001
Ice Paper,12121264,华语男歌手,1001
邵帅,29392693,华语男歌手,1001
Starling8,36772893,华语男歌手,1001
FIVESTAR,51613721,华语男歌手,1001
张震岳,6453,华语男歌手,1001
张国荣,6457,华语男歌手,1001
龍猛寺寬度,34500818,华语男歌手,1001
Wiz_H张子豪,13112601,华语男歌手,1001
黄礼格,1019154,华语男歌手,1001
陶喆,5196,华语男歌手,1001
杜宣达,12060040,华语男歌手,1001
王赫野,47091532,华语男歌手,1001
周柏豪,6479,华语男歌手,1001
7copy,32897995,华语男歌手,1001
KnowKnow,27868624,华语男歌手,1001
MC HotDog 热狗,4479,华语男歌手,1001
Franky弗兰奇,12338185,华语男歌手,1001
杨宗纬,6066,华语男歌手,1001
吴炳文Cookie,34357551,华语男歌手,1001
沙一汀EL,31561897,华语男歌手,1001
江辰,12641765,华语男歌手,1001
早安,47192128,华语男歌手,1001
柳爽,1060132,华语男歌手,1001
盛宇D-SHINE,12605500,华语男歌手,1001
王杰,5358,华语男歌手,1001
许巍,5770,华语男歌手,1001
WiFi歪歪,32571955,华语男歌手,1001
Lambert,31668975,华语男歌手,1001
永彬Ryan.B,12448205,华语男歌手,1001
ICE,13145283,华语男歌手,1001
张信哲,6454,华语男歌手,1001
王朝,1039296,华语男歌手,1001
慢热的气球,53340844,华语男歌手,1001
谭咏麟,5205,华语男歌手,1001
GAI周延,1211046,华语男歌手,1001
Lil Jet,12079066,华语男歌手,1001
高旭,33900743,华语男歌手,1001
焦迈奇,12084229,华语男歌手,1001
BT07,12138038,华语男歌手,1001
桃德李Todd Li,12268138,华语男歌手,1001
王力宏,5346,华语男歌手,1001
王嘉尔,1083118,华语男歌手,1001
刘德华,3691,华语男歌手,1001
林达浪,15199791,华语男歌手,1001
Strictlyviolin荀博,49044240,华语男歌手,1001
虎二,12286700,华语男歌手,1001
潘玮柏,4723,华语男歌手,1001
葛东琪,12136078,华语男歌手,1001
郑润泽,29051613,华语男歌手,1001
G.E.M.邓紫棋,7763,华语女歌手,1002
Kirsty刘瑾睿,12499721,华语女歌手,1002
蔡健雅,7214,华语女歌手,1002
王贰浪,14312549,华语女歌手,1002
刘大拿,29588305,华语女歌手,1002
莫文蔚,8926,华语女歌手,1002
yihuik苡慧,36032190,华语女歌手,1002
苏星婕,46966451,华语女歌手,1002
KKECHO,50275485,华语女歌手,1002
任然,9255,华语女歌手,1002
程响,7424,华语女歌手,1002
徐佳莹,9940,华语女歌手,1002
陈粒,1007170,华语女歌手,1002
王菲,9621,华语女歌手,1002
NINEONE#赵馨玥,12276375,华语女歌手,1002
孙燕姿,9272,华语女歌手,1002
刘至佳,1172023,华语女歌手,1002
买辣椒也用券,12085562,华语女歌手,1002
不是花火呀,36181946,华语女歌手,1002
萧亚轩,9945,华语女歌手,1002
叶琼琳,35187624,华语女歌手,1002
黄丽玲,7063,华语女歌手,1002
杨千嬅,10204,华语女歌手,1002
张韶涵,10562,华语女歌手,1002
陈慧娴,7225,华语女歌手,1002
张叶蕾,12213291,华语女歌手,1002
阿梨粤,33230219,华语女歌手,1002
花粥,8103,华语女歌手,1002
郁可唯,10200,华语女歌手,1002
刘若英,8326,华语女歌手,1002
梨冻紧,33259235,华语女歌手,1002
彭席彦,30644200,华语女歌手,1002
傲七爷,13145036,华语女歌手,1002
Vinida (万妮达),12001060,华语女歌手,1002
司南,28863695,华语女歌手,1002
梁咏琪,8329,华语女歌手,1002
陈壹千,12077204,华语女歌手,1002
王心凌,9606,华语女歌手,1002
谢安琪,9952,华语女歌手,1002
张碧晨,1024308,华语女歌手,1002
黄霄雲,14077324,华语女歌手,1002
蔡依林,7219,华语女歌手,1002
梦然,9039,华语女歌手,1002
张芸京,10572,华语女歌手,1002
双笙（陈元汐）,12025552,华语女歌手,1002
范倪Liu,37060073,华语女歌手,1002
林忆莲,8336,华语女歌手,1002
阿YueYue,12227865,华语女歌手,1002
路飞文,12405153,华语女歌手,1002
尹昔眠,12316248,华语女歌手,1002
金玟岐,893259,华语女歌手,1002
王OK(王澳珂),27871957,华语女歌手,1002
银临,188565,华语女歌手,1002
刘瑞琦,840134,华语女歌手,1002
Bell玲惠,37616858,华语女歌手,1002
旺仔小乔,32980337,华语女歌手,1002
蓝心羽,30207301,华语女歌手,1002
高睿,33850806,华语女歌手,1002
一支榴莲,33694141,华语女歌手,1002
杨丞琳,10199,华语女歌手,1002
